*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
16094  17.4  15.7  25.8   0.0
16095  19.3  15.0  26.0   0.0
16096  19.7  15.8  26.0   0.0
16097  19.4  14.1  27.1   0.0
16098  20.5  15.7  26.7   0.0
16099  21.8  16.3  26.7   0.0
16100  15.9  16.8  24.2   7.2
16101  17.5  16.5  23.4   4.2
16102   9.8  15.3  22.4   0.0
16103  18.1  14.1  24.8   0.0
16104  17.7  12.4  25.0   0.0
16105  12.6  16.8  23.2   6.8
16106  15.5  16.1  23.8  10.4
16107  13.2  16.0  24.4   6.1
16108  12.5  16.2  23.5  12.9
16109  14.1  15.9  23.4  18.2
16110  10.2  16.8  22.5   3.3
16111  10.1  15.8  22.5   7.6
16112  12.2  15.1  22.6   9.2
16113  15.5  15.1  23.7   7.7
16114  15.6  15.7  23.4   5.7
16115  12.0  15.7  23.7   0.6
16116  13.5  15.2  22.5  15.7
16117  18.5  15.9  24.2  12.5
16118   8.2  16.0  24.3  14.7
16119  17.3  16.2  23.5   7.5
16120  15.5  15.5  24.0   5.1
16121  20.0  13.8  25.7   0.0
16122  18.6  13.3  25.0   0.0
16123  20.4  13.7  24.8   0.0
16124  17.3  15.4  24.4   0.0
16125  17.3  14.4  25.2   0.0
16126  19.2  13.4  24.5   0.0
16127  18.7  15.0  24.3   0.0
16128  16.5  13.7  23.9   7.9
16129  19.7  12.3  23.1   0.0
16130  14.0  11.7  22.8   0.0
16131  13.5  15.6  23.2   6.0
16132  17.1  14.1  23.6  17.3
16133  11.6  14.3  23.4   0.0
16134  17.3  13.8  23.6   0.0
16135  15.8  15.2  22.9   0.9
16136  14.2  12.6  21.3   0.0
16137  14.7  12.8  22.1   0.0
16138  14.9  14.4  22.5   0.0
16139  17.0  12.7  23.1   0.0
16140  14.0  14.0  21.8   0.0
16141  16.7  14.7  22.7   0.0
16142  16.9  13.3  23.6   0.0
16143  17.0  13.6  23.7   0.0
16144  21.4  13.1  25.4   0.0
16145  13.8  13.5  23.7   0.0
16146  20.0  11.4  24.8   0.0
16147  19.3  11.8  25.0   0.0
16148  17.4  13.5  24.6   0.0
16149  14.4  14.5  21.6   9.6
16150  16.7  11.6  22.7   0.0
16151  15.5  10.5  21.9   0.0
16152  15.4  10.3  22.1   0.0
16153  18.1  10.6  22.6   0.0
16154  16.7  11.3  23.4   0.1
16155  17.1  12.2  23.9   0.5
16156  18.2  11.1  23.5   0.0
16157  13.4  12.4  23.2   0.0
16158  14.5  14.2  21.8   4.4
16159  14.1  14.3  20.7   3.8
16160  13.6  13.9  20.8   0.0
16161  11.6  12.4  20.0   0.0
16162  14.7  10.5  21.2   0.0
16163  11.8  10.6  19.9   0.0
16164  13.8  11.1  21.1   0.0
16165  13.9  10.1  20.1   0.0
16166  15.2   8.2  21.9   0.0
16167  20.8   7.4  23.1   0.0
16168  17.5  10.6  22.9   0.0
16169  17.6  10.3  22.5   0.0
16170  14.4  10.9  21.1   0.0
16171  16.1   9.9  22.5   0.0
16172  16.5   8.9  22.0   0.0
16173  18.4   7.4  22.0   0.0
16174  15.9   8.9  22.2   0.0
16175  13.9  13.5  21.9   0.0
16176  14.5  13.6  22.8   0.1
16177  15.8  14.4  22.1   0.0
16178  16.4  10.9  23.4   0.0
16179  20.6   8.3  23.4   0.0
16180  18.6   7.2  22.3   0.0
16181  14.3  10.6  20.1   0.0
16182  11.3   9.8  19.6   0.0
16183   9.1  10.6  18.5   0.0
16184  12.9   9.7  19.9   0.0
16185  16.0   8.8  20.9   0.0
16186  21.2   8.3  23.3   0.0
16187  15.5  10.3  20.8   0.0
16188  12.4   9.8  19.9   0.2
16189  15.9   7.7  20.2   2.6
16190  12.3   9.2  17.6   0.0
16191  15.8   8.7  18.4   0.0
16192  11.8   7.0  17.4   0.0
16193  19.5   9.2  20.9   0.0
16194  17.5   8.7  20.1   0.0
16195  12.1  10.7  18.8   0.0
16196  12.4   9.5  19.6   0.0
16197  17.7   8.2  21.2   0.0
16198  16.1   9.3  22.1   0.0
16199  12.8  11.5  20.6   0.2
16200  14.9  12.1  21.3   0.0
16201  15.3  10.0  20.6   0.0
16202  20.2   8.7  21.4   0.0
16203  15.0  10.0  21.0   0.0
16204  14.6  10.6  21.2   0.0
16205  15.7  10.6  21.4   0.4
16206  14.9   8.8  20.7   0.0
16207  18.3   7.5  21.7   0.0
